2016-07-19 16:15:22,471 root DEBUG autoptsclient_common.py   349   run_test_case             : Starting TestCase wrapper GATT TC_GAD_CL_BV_04_C
2016-07-19 16:15:22,471 root DEBUG testcase.py               499   pre_run                   : pre_run GATT TC_GAD_CL_BV_04_C
2016-07-19 16:15:22,471 root DEBUG testcase.py               502   pre_run                   : About to run test case GATT TC_GAD_CL_BV_04_C with commands:
2016-07-19 16:15:22,471 root DEBUG testcase.py               504   pre_run                   : 0) ptsprojects.testcase.TestFunc <bound method ZephyrCtl.start of <ptsprojects.zephyr.iutctl.ZephyrCtl instance at 0x7f3adf2df3f8>> None None () {}
2016-07-19 16:15:22,472 root DEBUG testcase.py               504   pre_run                   : 1) ptsprojects.testcase.TestFunc <function core_reg_svc_gap at 0x7f3adf2b0a28> None None () {}
2016-07-19 16:15:22,472 root DEBUG testcase.py               504   pre_run                   : 2) ptsprojects.testcase.TestFunc <function core_reg_svc_gatts at 0x7f3adf2b0aa0> None None () {}
2016-07-19 16:15:22,472 root DEBUG testcase.py               504   pre_run                   : 3) ptsprojects.testcase.TestFunc <function gap_conn at 0x7f3adf2b0cf8> 2 None ('00:1B:DC:E0:37:6C', 0) {}
2016-07-19 16:15:22,472 root DEBUG testcase.py               504   pre_run                   : 4) ptsprojects.testcase.TestFunc <function gap_connected_ev at 0x7f3adf2b0c80> 2 None ('00:1B:DC:E0:37:6C', 0) {}
2016-07-19 16:15:22,472 root DEBUG testcase.py               504   pre_run                   : 5) ptsprojects.testcase.TestFunc <function gattc_disc_all_chrc at 0x7f3adf2c8b18> 27 None (0, '00:1B:DC:E0:37:6C', 'MMI_arg_value_2', 'MMI_arg_value_3') {}
2016-07-19 16:15:22,473 root DEBUG testcase.py               504   pre_run                   : 6) ptsprojects.testcase.TestFunc <function gattc_disc_all_chrc_rsp at 0x7f3adf2c9758> 27 None (True,) {}
2016-07-19 16:15:22,473 root DEBUG testcase.py               504   pre_run                   : 7) ptsprojects.testcase.TestFunc <function gap_disconn at 0x7f3adf2b0de8> 3 None ('00:1B:DC:E0:37:6C', 0) {}
2016-07-19 16:15:22,473 root DEBUG testcase.py               504   pre_run                   : 8) ptsprojects.testcase.TestFunc <function gap_disconnected_ev at 0x7f3adf2b0d70> 3 None ('00:1B:DC:E0:37:6C', 0) {}
2016-07-19 16:15:22,473 root DEBUG testcase.py               504   pre_run                   : 9) ptsprojects.testcase.TestFuncCleanUp <bound method ZephyrCtl.stop of <ptsprojects.zephyr.iutctl.ZephyrCtl instance at 0x7f3adf2df3f8>> None None () {}
2016-07-19 16:15:22,473 root DEBUG testcase.py               201   start                     : Starting test function: ptsprojects.testcase.TestFunc <bound method ZephyrCtl.start of <ptsprojects.zephyr.iutctl.ZephyrCtl instance at 0x7f3adf2df3f8>> None None () {}
2016-07-19 16:15:22,474 root DEBUG testcase.py               209   start                     : Test function parameters: args=(), kwds={}
2016-07-19 16:15:22,474 root DEBUG iutctl.py                 173   start                     : ptsprojects.zephyr.iutctl.ZephyrCtl.start
2016-07-19 16:15:22,474 root DEBUG iutctl.py                 160   reset_board               : About to reset DUT: "/home/skamrmar/bin/zflash/openocd/bin/openocd -s /home/skamrmar/bin/zflash/openocd/share/scripts -f /home/skamrmar/bin/zflash/boards/mountatlas/openocd.cfg -c 'init' -c 'reset run' -c 'shutdown'"
2016-07-19 16:15:24,484 root DEBUG iutctl.py                 184   start                     : Starting socat process: socat -x -v /dev/ttyUSB1,raw,b115200 UNIX-CONNECT:/tmp/bt-stack-tester
2016-07-19 16:15:24,487 root DEBUG iutctl.py                 56    accept                    : accept
2016-07-19 16:15:24,491 root DEBUG testcase.py               201   start                     : Starting test function: ptsprojects.testcase.TestFunc <function core_reg_svc_gap at 0x7f3adf2b0a28> None None () {}
2016-07-19 16:15:24,491 root DEBUG testcase.py               209   start                     : Test function parameters: args=(), kwds={}
2016-07-19 16:15:24,492 root DEBUG btp.py                    226   core_reg_svc_gap          : core_reg_svc_gap
2016-07-19 16:15:24,492 root DEBUG iutctl.py                 98    send                      : send, 0 3 255 1
2016-07-19 16:15:24,492 root DEBUG iutctl.py                 108   send                      : btpclient command: send 0 3 255 01
2016-07-19 16:15:24,492 root DEBUG btpparser.py              59    enc_frame                 : enc_frame, 0 3 255 '\x01'
2016-07-19 16:15:24,492 root DEBUG iutctl.py                 112   send                      : sending frame '\x00\x03\xff\x01\x00\x01'
2016-07-19 16:15:26,044 root DEBUG btp.py                    246   core_reg_svc_rsp_succ     : core_reg_svc_rsp_succ
2016-07-19 16:15:26,045 root DEBUG iutctl.py                 64    read                      : read
2016-07-19 16:15:26,113 root DEBUG btpparser.py              39    dec_hdr                   : dec_hdr, bytearray(b'\x00\x03\xff\x00\x00')
2016-07-19 16:15:26,114 root DEBUG iutctl.py                 78    read                      : Received: hdr: header(svc_id=0, op=3, ctrl_index=255, data_len=0) bytearray(b'\x00\x03\xff\x00\x00')
2016-07-19 16:15:26,114 root DEBUG btpparser.py              49    dec_data                  : dec_data, bytearray(b'')
2016-07-19 16:15:26,114 root DEBUG iutctl.py                 91    read                      : Received data: ('',), bytearray(b'')
2016-07-19 16:15:26,114 root DEBUG btp.py                    257   core_reg_svc_rsp_succ     : received header(svc_id=0, op=3, ctrl_index=255, data_len=0) ('',)
2016-07-19 16:15:26,115 root DEBUG btp.py                    258   core_reg_svc_rsp_succ     : expected ((0, 3, 255, 0), ('',))
2016-07-19 16:15:26,115 root DEBUG btp.py                    264   core_reg_svc_rsp_succ     : response is valid
2016-07-19 16:15:26,115 root DEBUG testcase.py               201   start                     : Starting test function: ptsprojects.testcase.TestFunc <function core_reg_svc_gatts at 0x7f3adf2b0aa0> None None () {}
2016-07-19 16:15:26,115 root DEBUG testcase.py               209   start                     : Test function parameters: args=(), kwds={}
2016-07-19 16:15:26,115 root DEBUG btp.py                    237   core_reg_svc_gatts        : core_reg_svc_gatts
2016-07-19 16:15:26,115 root DEBUG iutctl.py                 98    send                      : send, 0 3 255 2
2016-07-19 16:15:26,115 root DEBUG iutctl.py                 108   send                      : btpclient command: send 0 3 255 02
2016-07-19 16:15:26,116 root DEBUG btpparser.py              59    enc_frame                 : enc_frame, 0 3 255 '\x02'
2016-07-19 16:15:26,116 root DEBUG iutctl.py                 112   send                      : sending frame '\x00\x03\xff\x01\x00\x02'
2016-07-19 16:15:26,116 root DEBUG btp.py                    246   core_reg_svc_rsp_succ     : core_reg_svc_rsp_succ
2016-07-19 16:15:26,116 root DEBUG iutctl.py                 64    read                      : read
2016-07-19 16:15:26,119 root DEBUG btpparser.py              39    dec_hdr                   : dec_hdr, bytearray(b'\x00\x03\xff\x00\x00')
2016-07-19 16:15:26,120 root DEBUG iutctl.py                 78    read                      : Received: hdr: header(svc_id=0, op=3, ctrl_index=255, data_len=0) bytearray(b'\x00\x03\xff\x00\x00')
2016-07-19 16:15:26,120 root DEBUG btpparser.py              49    dec_data                  : dec_data, bytearray(b'')
2016-07-19 16:15:26,120 root DEBUG iutctl.py                 91    read                      : Received data: ('',), bytearray(b'')
2016-07-19 16:15:26,120 root DEBUG btp.py                    257   core_reg_svc_rsp_succ     : received header(svc_id=0, op=3, ctrl_index=255, data_len=0) ('',)
2016-07-19 16:15:26,121 root DEBUG btp.py                    258   core_reg_svc_rsp_succ     : expected ((0, 3, 255, 0), ('',))
2016-07-19 16:15:26,121 root DEBUG btp.py                    264   core_reg_svc_rsp_succ     : response is valid
2016-07-19 16:15:34,246 ClientCallback.on_implicit_send INFO autoptsclient_common.py   116   on_implicit_send          : ********************
2016-07-19 16:15:34,246 ClientCallback.on_implicit_send INFO autoptsclient_common.py   117   on_implicit_send          : BEGIN OnImplicitSend:
2016-07-19 16:15:34,246 ClientCallback.on_implicit_send INFO autoptsclient_common.py   118   on_implicit_send          : project_name: GATT
2016-07-19 16:15:34,247 ClientCallback.on_implicit_send INFO autoptsclient_common.py   119   on_implicit_send          : wid: 2
2016-07-19 16:15:34,247 ClientCallback.on_implicit_send INFO autoptsclient_common.py   120   on_implicit_send          : test_case_name: TC_GAD_CL_BV_04_C
2016-07-19 16:15:34,247 ClientCallback.on_implicit_send INFO autoptsclient_common.py   121   on_implicit_send          : description: Please initiate a GATT connection to the PTS.

Description: Verify that the Implementation Under Test (IUT) can initiate GATT connect request to PTS.
2016-07-19 16:15:34,247 ClientCallback.on_implicit_send INFO autoptsclient_common.py   122   on_implicit_send          : style: MMI_Style_Ok_Cancel2 0x11141
2016-07-19 16:15:34,247 ClientCallback.on_implicit_send INFO autoptsclient_common.py   124   on_implicit_send          : response: 3653140 <type 'int'> 11125616
2016-07-19 16:15:34,247 ClientCallback.on_implicit_send INFO autoptsclient_common.py   125   on_implicit_send          : response_size: 2048
2016-07-19 16:15:34,248 ClientCallback.on_implicit_send INFO autoptsclient_common.py   127   on_implicit_send          : response_is_present: 0 <type 'int'>
